NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-11-05;Dona;Menors de 15;No;306;3716;950;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-11-05;Dona;Menors de 15;Si;0;2;1;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-05;Home;Entre 15 i 64;No;1167;7882;3299;80;15;627;157;2
CATALUNYA;CATALUNYA;2020-11-05;Home;Entre 15 i 64;Si;21;171;31;2;0;26;3;1
CATALUNYA;CATALUNYA;2020-11-05;Home;Entre 65 i 74;No;124;811;246;15;11;355;112;6
CATALUNYA;CATALUNYA;2020-11-05;Home;Entre 65 i 74;Si;7;71;10;1;0;21;1;2
CATALUNYA;CATALUNYA;2020-11-05;Home;Majors de 74;No;112;854;227;39;6;469;49;30
CATALUNYA;CATALUNYA;2020-11-05;Home;Majors de 74;Si;22;377;39;3;0;46;1;6
CATALUNYA;CATALUNYA;2020-11-05;Home;Menors de 15;No;287;3967;1042;0;0;2;1;0
CATALUNYA;CATALUNYA;2020-11-05;Home;Menors de 15;Si;0;1;1;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-04;Altres;N/A;--;96;813;29;12;3;125;22;0
CATALUNYA;CATALUNYA;2020-11-04;Dona;Entre 15 i 64;No;1471;13882;4425;42;6;327;58;2
CATALUNYA;CATALUNYA;2020-11-04;Dona;Entre 15 i 64;Si;12;100;19;1;0;7;1;0
CATALUNYA;CATALUNYA;2020-11-04;Dona;Entre 65 i 74;No;107;818;345;27;7;213;43;1
CATALUNYA;CATALUNYA;2020-11-04;Dona;Entre 65 i 74;Si;4;77;12;1;0;8;0;0
CATALUNYA;CATALUNYA;2020-11-04;Dona;Majors de 74;No;192;1074;360;52;5;432;22;25
CATALUNYA;CATALUNYA;2020-11-04;Dona;Majors de 74;Si;73;1154;211;13;0;81;1;10
CATALUNYA;CATALUNYA;2020-11-04;Dona;Menors de 15;No;330;4139;980;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-11-04;Dona;Menors de 15;Si;0;2;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-04;Home;Entre 15 i 64;No;1257;8751;3305;80;18;641;155;3
CATALUNYA;CATALUNYA;2020-11-04;Home;Entre 15 i 64;Si;26;161;23;4;1;21;3;0
CATALUNYA;CATALUNYA;2020-11-04;Home;Entre 65 i 74;No;113;850;237;44;11;371;117;5
CATALUNYA;CATALUNYA;2020-11-04;Home;Entre 65 i 74;Si;7;83;5;2;0;18;1;0
CATALUNYA;CATALUNYA;2020-11-04;Home;Majors de 74;No;134;909;243;56;5;479;55;22
CATALUNYA;CATALUNYA;2020-11-04;Home;Majors de 74;Si;28;355;60;6;0;51;1;5
CATALUNYA;CATALUNYA;2020-11-04;Home;Menors de 15;No;313;4464;1148;2;0;3;1;0
CATALUNYA;CATALUNYA;2020-11-04;Home;Menors de 15;Si;0;0;1;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-03;Altres;N/A;--;119;702;27;17;2;131;24;0
CATALUNYA;CATALUNYA;2020-11-03;Dona;Entre 15 i 64;No;1754;13619;4600;50;7;334;59;0
CATALUNYA;CATALUNYA;2020-11-03;Dona;Entre 15 i 64;Si;10;73;36;1;0;7;1;0
CATALUNYA;CATALUNYA;2020-11-03;Dona;Entre 65 i 74;No;155;975;360;27;4;215;39;1
CATALUNYA;CATALUNYA;2020-11-03;Dona;Entre 65 i 74;Si;10;70;26;0;0;12;1;0
CATALUNYA;CATALUNYA;2020-11-03;Dona;Majors de 74;No;190;1234;373;55;0;412;23;16
CATALUNYA;CATALUNYA;2020-11-03;Dona;Majors de 74;Si;122;960;265;7;0;80;1;18
CATALUNYA;CATALUNYA;2020-11-03;Dona;Menors de 15;No;365;4459;983;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-11-03;Dona;Menors de 15;Si;0;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-03;Home;Entre 15 i 64;No;1543;8909;3519;77;11;629;156;5
CATALUNYA;CATALUNYA;2020-11-03;Home;Entre 15 i 64;Si;14;83;39;3;0;21;2;1
CATALUNYA;CATALUNYA;2020-11-03;Home;Entre 65 i 74;No;157;1025;299;39;8;350;115;4
CATALUNYA;CATALUNYA;2020-11-03;Home;Entre 65 i 74;Si;5;78;19;1;0;18;1;1
CATALUNYA;CATALUNYA;2020-11-03;Home;Majors de 74;No;141;1056;266;46;4;463;58;22
CATALUNYA;CATALUNYA;2020-11-03;Home;Majors de 74;Si;47;346;71;8;1;44;1;6
CATALUNYA;CATALUNYA;2020-11-03;Home;Menors de 15;No;384;4799;1159;1;0;2;1;0
CATALUNYA;CATALUNYA;2020-11-03;Home;Menors de 15;Si;0;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-02;Altres;N/A;--;114;640;37;17;6;126;25;0
CATALUNYA;CATALUNYA;2020-11-02;Dona;Entre 15 i 64;No;2153;10548;4683;56;14;343;58;1
CATALUNYA;CATALUNYA;2020-11-02;Dona;Entre 15 i 64;Si;4;98;13;1;0;6;1;2
CATALUNYA;CATALUNYA;2020-11-02;Dona;Entre 65 i 74;No;170;861;337;24;7;199;42;1
CATALUNYA;CATALUNYA;2020-11-02;Dona;Entre 65 i 74;Si;8;55;16;2;0;14;1;0
CATALUNYA;CATALUNYA;2020-11-02;Dona;Majors de 74;No;207;1023;330;45;3;399;26;19
CATALUNYA;CATALUNYA;2020-11-02;Dona;Majors de 74;Si;93;575;324;9;0;81;1;12
